"","AGEG","STATE","SEX","IMPRACE","METSD","Freq","YEAR"
"7774","45-54","24","Female","NH White","No",227515.885903176,2013
"7775","55-64","24","Female","NH White","No",194104.54911606,2013
"7776",">65","24","Female","NH White","No",222776.837104803,2013
"7777","18-24","25","Female","NH White","No",236248.524796215,2013
"7778","25-34","25","Female","NH White","No",275506.87967555,2013
"7779","35-44","25","Female","NH White","No",296231.761535921,2013
"7780","45-54","25","Female","NH White","No",364609.141802868,2013
"7781","55-64","25","Female","NH White","No",320782.584461396,2013
"7782",">65","25","Female","NH White","No",373588.443041113,2013
"7783","18-24","26","Female","NH White","No",322839.115383331,2013
"7784","25-34","26","Female","NH White","No",401621.213975249,2013
"7785","35-44","26","Female","NH White","No",422084.285879923,2013
"7786","45-54","26","Female","NH White","No",475854.724372309,2013
"7787","55-64","26","Female","NH White","No",414991.809931034,2013
"7788",">65","26","Female","NH White","No",478502.852680263,2013
"7789","18-24","27","Female","NH White","No",199085.936240237,2013
"7790","25-34","27","Female","NH White","No",259710.465942753,2013
"7791","35-44","27","Female","NH White","No",238902.09811397,2013
"7792","45-54","27","Female","NH White","No",317200.368255928,2013
"7793","55-64","27","Female","NH White","No",269162.58423413,2013
"7794",">65","27","Female","NH White","No",297670.728107225,2013
"7795","18-24","28","Female","NH White","No",72546.3601266353,2013
"7796","25-34","28","Female","NH White","No",96599.1712851861,2013
"7797","35-44","28","Female","NH White","No",92432.8416952699,2013
"7798","45-54","28","Female","NH White","No",96844.9842410783,2013
"7799","55-64","28","Female","NH White","No",85601.5407881972,2013
"7800",">65","28","Female","NH White","No",115872.414134049,2013
"7801","18-24","29","Female","NH White","No",207621.598410873,2013
"7802","25-34","29","Female","NH White","No",307149.744332956,2013
"7803","35-44","29","Female","NH White","No",261217.600268975,2013
"7804","45-54","29","Female","NH White","No",302356.552685144,2013
"7805","55-64","29","Female","NH White","No",261121.460830502,2013
"7806",">65","29","Female","NH White","No",329217.633203246,2013
"7807","18-24","30","Female","NH White","No",38768.9753599542,2013
"7808","25-34","30","Female","NH White","No",49536.3480011774,2013
"7809","35-44","30","Female","NH White","No",47335.9055311395,2013
"7810","45-54","30","Female","NH White","No",55310.8145318857,2013
"7811","55-64","30","Female","NH White","No",55222.4201616106,2013
"7812",">65","30","Female","NH White","No",62832.0923860565,2013
"7813","18-24","31","Female","NH White","No",66491.2339181218,2013
"7814","25-34","31","Female","NH White","No",92514.761158835,2013
"7815","35-44","31","Female","NH White","No",80000.0608953742,2013
"7816","45-54","31","Female","NH White","No",93095.3847441747,2013
"7817","55-64","31","Female","NH White","No",81807.6789069417,2013
"7818",">65","31","Female","NH White","No",99658.436618241,2013
"7819","18-24","32","Female","NH White","No",46100.8372566743,2013
